index,valid_pixel_rate,noise_1px,noise_2px,noise_5px
000003,0.8456591639871383,0.4640377009836823,0.9232996819513506,2.3089333400902494
000018,0.8455223370048573,0.46219634446923913,0.9223379839037327,2.307519127764507
000043,0.8456591639871383,0.4658844674571589,0.9206834440155376,2.313078080761596
000060,0.8444277211466101,0.45996560150237,0.9206842217708836,2.2878353381777963
000075,0.8436751727440651,0.46309273588803435,0.9247341131379082,2.2988926837516077
000091,0.8452828897858657,0.45840452121368575,0.9241698944169334,2.279747543945855
000109,0.8429966968866399,0.46094863151696963,0.9175561930106106,2.307891962640163
000123,0.8455223370048573,0.4635091185722331,0.9214514187292716,2.2877183590221013
000142,0.8456591639871383,0.46050815898226916,0.9242712581916587,2.3118486659482462
000158,0.8455565437504275,0.46543504151059173,0.9268773529812444,2.2985396167086747
000177,0.8453855100225764,0.46085571513038903,0.925522679929149,2.2986981985532564
000202,0.8456591639871383,0.46027794419032036,0.9231071055616732,2.3104930184375836
000220,0.8456591639871383,0.4631493095092803,0.9210517662188615,2.2988476059968224
000241,0.8432988985427926,0.46155394927057125,0.9248886933093072,2.290153035251299
000259,0.8451612903225807,0.46207807549590363,0.9237641859129799,2.296716413225346
000282,0.8456591639871383,0.4628413228247202,0.9200626777336866,2.3092140882256893
000299,0.8456591639871383,0.4596778855665775,0.9125695747658172,2.310595336582665
000322,0.845317096531436,0.46412730986830913,0.9214731436691299,2.301329836452483
000344,0.8456591639871383,0.46264003117766866,0.9215031991508359,2.29952350941362
000374,0.8455565437504275,0.46251014893455433,0.9187927208653002,2.2814459748037836
000410,0.8449408223301635,0.46098185845032386,0.9214690872683203,2.2891658406185433
000426,0.8429568310870904,0.4615892149123528,0.923653590682935,2.308502779661511
000444,0.8456591639871383,0.461074445211621,0.9247274721045309,2.296299560083263
000465,0.8430318363904702,0.4583090515687276,0.9201155019035323,2.3062821747380053
000488,0.8456591639871383,0.4630922355189595,0.9265407026683445,2.2975323059632102
000514,0.8453513032770062,0.46120038215775216,0.9153650539693842,2.284483020472633
000532,0.8429966968866399,0.4585460583254615,0.9207419730046458,2.3123306293358636
000550,0.8453513032770062,0.4623249161340271,0.9215984626211429,2.3002572780762174
000574,0.8450092358213039,0.4605114833648591,0.9176770885340041,2.2893068319495486
000586,0.8430936580693713,0.4586814195020254,0.9181199243971147,2.294068112117131
000603,0.8431372549019608,0.4617886367196769,0.9213009066550688,2.3033305860953033
000623,0.8456591639871383,0.4600550391064067,0.9262453978354261,2.294142909493053
